# l, u, A_ul
1, 2, 469669480.0
1, 3, 55727384.0
2, 3, 44082910.0
1, 4, 12779603.0
2, 4, 8415716.8
3, 4, 8982279.4
1, 5, 4123298.6
2, 5, 2529347.7
3, 5, 2199822.5
4, 5, 2698131.7
1, 6, 1643335.0
2, 6, 972780.3
3, 6, 777957.7
4, 6, 770776.7
5, 6, 1024968.5
1, 7, 756531.5
2, 7, 438702.2
3, 7, 335709.1
4, 7, 304017.9
5, 7, 325139.5
6, 7, 455884.8
1, 8, 386782.9
2, 8, 221385.8
3, 8, 164993.0
4, 8, 142361.0
5, 8, 138712.5
6, 8, 156025.1
7, 8, 227108.5
1, 9, 214164.3
2, 9, 121510.3
3, 9, 89012.0
4, 9, 74561.5
5, 9, 69049.0
6, 9, 70622.2
7, 9, 82335.6
8, 9, 123232.6
