#Name, Period(days), Distance(kpc), V(mag), J(mag), H(mag), K(mag), E(mag), Z([Fe/H])
AA Gem, 11.302, 5.325, 9.720, 7.646, 7.189, 7.086, 0.345, -0.080
AA Mon, 3.938, 4.710, 12.740, 9.729, 9.186, 8.989, 0.765, -0.120
AB Cam, 5.788, 6.743, 11.860, 9.418, 8.936, 8.746, 0.622, -0.110
AC Mon, 8.014, 3.719, 10.100, 7.579, 7.054, 6.885, 0.507, -0.060
AD Cam, 11.261, 5.325, 12.560, 8.988, 8.363, 8.109, 0.873, -0.280
AD Cru, 6.398, 3.438, 11.060, 8.198, 7.661, 7.387, 0.640, 0.080
AD Gem, 3.788, 11.025, 9.850, 8.468, 8.140, 8.066, 0.206, -0.140
AD Pup, 13.596, 8.150, 9.920, 7.723, 7.341, 7.144, 0.363, -0.060
AE Tau, 3.897, 3.940, 11.700, 9.442, 8.949, 8.750, 0.568, -0.210
AE Vel, 7.134, 3.202, 10.240, 7.589, 7.096, 6.867, 0.691, 0.110
AG Cru, 3.837, 1.610, 8.220, 6.629, 6.368, 6.200, 0.242, 0.050
AH Vel, 4.227, 0.822, 5.690, 4.568, 4.327, 4.235, 0.036, 0.090
alf UMi, 3.970, 0.133, 1.980, 0.941, 0.460, 0.652, 0.016, 0.150
AN Aur, 10.291, 14.368, 10.450, 7.932, 7.434, 7.274, 0.542, -0.130
AO Aur, 6.763, 7.886, 10.850, 8.640, 8.188, 8.064, 0.437, -0.270
AO CMa, 5.816, 4.693, 12.070, 9.154, 8.595, 8.366, 0.694, 0.010
AP Pup, 5.084, 1.247, 7.380, 5.788, 5.443, 5.322, 0.250, -0.020
AP Sgr, 5.058, 0.894, 6.950, 5.350, 4.970, 4.890, 0.184, 0.160
AQ Car, 9.769, 3.488, 8.850, 7.164, 6.811, 6.573, 0.168, -0.160
AQ Pup, 30.149, 3.448, 8.710, 6.099, 5.481, 5.297, 0.531, 0.060
AS Per, 4.973, 1.921, 9.720, 6.934, 6.465, 6.295, 0.684, 0.110
AT Pup, 6.665, 1.762, 7.980, 6.289, 5.963, 5.866, 0.166, -0.080
AV Cir, 3.065, 0.984, 7.410, 5.582, 5.236, 5.093, 0.374, 0.140
AV Sgr, 15.415, 1.815, 11.290, 6.878, 6.089, 5.730, 1.238, 0.350
AW Per, 6.464, 0.960, 7.480, 5.225, 4.821, 4.695, 0.479, 0.010
AX Cir, 5.273, 0.573, 5.880, 4.299, 3.879, 3.780, 0.265, -0.040
AX Vel, 2.593, 1.623, 8.220, 6.822, 6.464, 6.376, 0.256, -0.010
AY Cen, 5.310, 1.820, 8.810, 6.808, 6.431, 6.249, 0.357, 0.050
AZ Cen, 3.212, 2.355, 8.630, 7.058, 6.860, 6.800, 0.166, 0.060
BB Cen, 3.998, 4.268, 10.080, 7.897, 7.539, 7.375, 0.381, 0.190
BB Gem, 2.308, 4.943, 11.440, 9.696, 9.335, 9.215, 0.430, -0.090
BB Her, 7.508, 4.286, 10.080, 8.076, 7.675, 7.538, 0.392, 0.230
BB Sgr, 6.637, 0.801, 6.950, 5.100, 4.639, 4.510, 0.285, 0.140
BC Pup, 3.544, 12.870, 13.880, 11.015, 10.475, 10.247, 0.800, -0.310
BD Cas, 3.651, 3.054, 11.000, 8.155, 7.578, 7.353, 1.006, -0.020
bet Dor, 9.843, 0.321, 3.760, 2.438, 2.029, 1.959, 0.075, -0.060
BF Oph, 4.068, 0.850, 7.340, 5.699, 5.284, 5.176, 0.261, 0.110
BG Cru, 3.343, 0.563, 5.460, 4.159, 3.839, 3.862, 0.104, -0.110
BG Lac, 5.332, 1.963, 8.880, 7.022, 6.638, 6.511, 0.337, 0.040
BG Vel, 6.924, 0.993, 7.660, 5.410, 4.972, 4.797, 0.434, 0.040
BK Aur, 8.002, 3.023, 9.430, 7.302, 6.873, 6.749, 0.393, 0.070
BM Per, 22.952, 4.621, 10.420, 6.656, 5.991, 5.741, 0.919, 0.200
BN Pup, 13.673, 6.636, 9.910, 7.624, 7.076, 6.922, 0.422, 0.030
BP Cir, 2.398, 1.005, 7.550, 5.918, 5.612, 5.483, 0.258, -0.010
BQ Ser, 4.271, 1.259, 9.510, 6.536, 5.958, 5.767, 0.782, 0.020
BZ Cyg, 10.142, 2.235, 10.220, 6.751, 6.134, 5.899, 0.832, 0.250
CD Cyg, 17.074, 2.626, 8.950, 6.351, 5.830, 5.684, 0.512, 0.120
CE CasA, 5.141, 2.626, 11.060, 7.801, 7.372, 7.100, 0.556, 0.110
CE CasB, 4.479, 2.626, 11.060, 7.801, 7.372, 7.100, 0.527, 0.110
CE Pup, 49.326, 28.490, 11.800, 8.402, 7.816, 7.581, 0.740, -0.040
CF Cas, 4.875, 3.483, 11.140, 8.595, 8.114, 7.937, 0.556, -0.010
CH Cas, 15.092, 3.693, 11.000, 7.321, 6.673, 6.420, 0.942, 0.230
CI Per, 3.297, 8.666, 12.640, 10.666, 10.427, 10.293, 0.261, -0.350
CN Car, 4.933, 2.737, 10.690, 8.345, 7.848, 7.704, 0.438, 0.180
CP Cep, 17.859, 3.476, 10.580, 7.330, 6.711, 6.511, 0.681, 0.050
CR Cep, 6.233, 1.472, 9.650, 6.641, 6.084, 5.909, 0.704, 0.000
