#FILENAME= 'hlsp_exo_kepler_phot_KPLR8191672_kep_v1.0_dtr.txt'
#TARGNAME= 'KPLR8191672'
#TELESCOP= 'Kepler'            / Telescope used for observation
#INSTRUME= 'Photometer'        / Instrument used for observation
#RA_TARG =           299.40700 / [deg] target right ascension (J2000)
#DEC_TARG=            44.03503 / [deg] target declination (J2000)
#RMAGTARG=              13.321 / target r magnitude from KIC
#G-R_TARG=               0.562 / target g-r magnitude from KIC
#DATEMIN =      2454953.538373 / earliest observation date
#DATEMAX =      2454997.983269 / latest observation date
#CAD_TIME=           1765.4976 / [s] median time between samples
#TIME_FIL=             0.96596 / fraction of time interval with observations
#FLUXRMS =          1.3759e-04 / rms of sigma-clipped detrended normalized flux
# 
#NPTS    =                2102 / number of time samples
#COLUMN_1= 'HJD'               / Heliocentric Julian Date
#COLUMN_2= 'Detr_Norm_Flux'    / detrended normalized flux in Kepler bandpass
# 
2454953.538373   1.000174
2454953.558807   1.000038
2454953.579242   1.000179
2454953.599676   1.000335
2454953.620111   1.000013
2454953.640545   1.000498
2454953.660979   1.000228
2454953.681414   1.000171
2454953.701848   1.000322
2454953.722283   1.000012
2454953.742717   1.000007
2454953.763152   1.000033
2454953.783586   0.999939
2454953.804020   0.999833
2454953.824455   0.999783
2454953.844889   0.999897
2454953.865324   0.999841
2454953.885758   0.999727
2454953.906193   1.000070
2454953.926627   0.999792
2454953.947062   0.999773
2454953.967496   0.999834
2454953.987930   1.000098
2454954.008365   0.999731
2454954.028799   0.999703
2454954.049234   0.999891
2454954.069668   0.999850
2454954.090103   0.999793
2454954.110537   0.999740
2454954.130971   0.999774
2454954.151406   0.999913
2454954.171840   1.000088
2454954.192275   1.000046
2454954.212709   0.999590
2454954.233144   0.999874
2454954.253578   1.000108
2454954.274012   1.000110
2454954.294447   0.999856
2454954.314881   1.000157
2454954.335316   1.000109
2454954.355750   1.000201
2454954.376185   1.000058
2454954.396619   0.999935
2454954.417053   0.999936
2454954.437488   1.001208
2454954.457922   1.000041
2454954.478357   0.999921
2454954.498791   1.000115
2454954.519226   0.999950
2454954.539660   1.000167
2454954.560095   1.000077
2454954.580529   0.999965
2454954.600963   0.999664
2454954.621398   0.999889
2454954.641832   1.000036
2454954.662267   0.999917
2454954.682702   0.999991
2454954.703136   0.999865
2454954.723570   1.000065
2454954.744004   1.000000
2454954.764439   1.000050
2454954.784873   1.000035
2454954.805308   0.999855
2454954.825743   0.999920
2454954.846176   1.000036
2454954.866611   0.999666
2454954.887045   0.999974
2454954.907480   0.999891
2454954.927915   0.999819
2454954.948349   0.999933
2454954.968783   1.000212
2454954.989217   0.999975
2454955.009652   0.999821
2454955.030087   0.999788
2454955.050521   0.999821
2454955.070956   0.999961
2454955.091390   0.999863
2454955.111824   0.999963
2454955.132259   0.999833
2454955.152693   0.999976
2454955.173128   1.000031
2454955.193562   0.999846
2454955.213997   1.000206
2454955.234431   1.000018
2454955.254865   0.999862
2454955.275300   0.999897
2454955.295734   1.000063
2454955.316169   1.000029
2454955.336603   0.999954
2454955.357037   1.000102
2454955.377472   1.000085
2454955.397906   0.999987
2454955.418341   1.000462
2454955.438775   1.000047
2454955.459210   0.999872
2454955.479644   0.999911
2454955.500078   1.000042
2454955.520513   0.999958
2454955.540947   0.999993
2454955.561382   1.000205
2454955.581817   0.999685
2454955.602250   0.999966
2454955.622685   0.999808
2454955.643120   0.999764
2454955.663554   0.999871
2454955.683989   1.000053
2454955.704423   0.999918
2454955.724857   0.999870
2454955.745292   0.999907
2454955.765726   0.999893
2454955.786161   0.999923
2454955.806595   0.999247
2454955.827030   0.994266
2454955.847464   0.993285
2454955.867898   0.992980
2454955.888333   0.992830
2454955.908767   0.992540
2454955.929202   0.992848
2454955.949636   0.993130
2454955.970071   0.993792
2454955.990505   0.998096
2454956.010939   1.000010
2454956.031374   0.999862
2454956.051809   1.000075
2454956.072243   1.000139
2454956.092678   0.999913
2454956.113111   1.000123
2454956.133546   0.999840
2454956.153980   0.999923
2454956.174415   0.999700
2454956.194850   0.999831
2454956.215284   0.999802
2454956.235718   0.999823
2454956.256153   0.999997
2454956.276587   1.000024
2454956.297022   0.999950
2454956.317456   0.999880
2454956.337891   1.000003
2454956.358324   0.999993
2454956.378759   0.999837
2454956.399194   0.999867
2454956.419628   1.000121
2454956.440063   0.999848
2454956.460497   0.999889
2454956.480931   1.000082
2454956.501366   1.000084
2454956.521800   0.999967
2454956.542235   1.000243
2454956.562669   0.999835
2454956.583104   1.000041
2454956.603539   1.000033
2454956.623972   0.999976
2454956.644407   1.000129
2454956.664841   0.999739
2454956.685276   1.000067
2454956.705711   0.999908
2454956.726145   0.999936
2454956.746579   0.999856
2454956.767013   0.999904
2454956.787448   1.000118
2454956.807883   0.999973
2454956.828317   0.999890
2454956.848752   1.000013
2454956.869185   0.999935
2454956.889620   0.999906
2454956.910055   0.999910
2454956.930489   1.000408
2454956.950924   0.999914
2454956.971358   1.000003
2454956.991792   1.000190
2454957.012226   1.000199
2454957.032661   1.000076
2454957.053096   0.999984
2454957.073530   0.999925
2454957.093965   1.000008
2454957.114399   0.999934
2454957.134833   0.999703
2454957.155268   0.999798
2454957.175702   1.000077
2454957.196137   0.999791
2454957.216571   0.999862
2454957.237005   0.999822
2454957.257440   0.999938
2454957.277874   0.999910
2454957.298309   0.999955
2454957.318744   1.000127
2454957.339178   0.999932
2454957.359612   0.999947
2454957.380046   0.999987
2454957.400481   0.999873
2454957.420916   1.000090
2454957.441350   0.999877
2454957.461785   0.999885
2454957.482219   0.999919
2454957.502653   1.000041
2454957.523087   0.999764
2454957.543522   0.999736
2454957.563957   1.000006
2454957.584391   1.000103
2454957.604826   1.000069
2454957.625260   0.999973
2454957.645694   0.999953
2454957.666128   1.000064
2454957.686563   0.999628
2454957.706998   0.999861
2454957.727433   0.999963
2454957.747866   0.999936
2454957.768301   0.999991
2454957.788735   0.999918
2454957.809170   1.000051
2454957.829605   1.000105
2454957.850039   0.999977
2454957.870473   0.999767
2454957.890907   0.999718
2454957.911342   0.999849
2454957.931776   0.999979
2454957.952211   0.999919
2454957.972646   1.000027
2454957.993079   1.000054
2454958.013514   0.999935
2454958.033948   1.000046
2454958.054383   0.999938
2454958.074818   1.000057
2454958.095252   0.999800
2454958.115686   1.000159
2454958.136120   1.000058
2454958.156555   1.000272
2454958.176989   0.999895
2454958.197424   0.999883
2454958.217859   1.000039
2454958.238294   0.999705
2454958.258727   0.999869
2454958.279161   0.999803
2454958.299596   1.000247
2454958.320031   0.999990
2454958.340466   0.999764
2454958.360900   0.999893
2454958.381333   0.999837
2454958.401768   0.999840
2454958.422203   1.000017
2454958.442637   1.000032
2454958.463072   1.000073
2454958.483507   0.999884
2454958.503940   0.999834
2454958.524375   0.999782
2454958.544809   1.000087
2454958.565244   0.999820
2454958.585679   1.000093
2454958.606113   1.000081
2454958.626546   0.999934
2454958.646981   1.000100
2454958.667416   0.999956
2454958.687851   0.999904
2454958.708285   0.999935
2454958.728720   0.999984
2454958.749153   1.000053
2454958.769588   0.999907
2454958.790022   0.999923
2454958.810457   1.000046
2454958.830892   0.999901
2454958.851326   0.999768
2454958.871760   1.000070
2454958.892194   1.000104
2454958.912629   0.999854
2454958.933064   1.000081
2454958.953498   0.999986
2454958.973933   1.000139
2454958.994367   1.000071
2454959.014801   0.999815
2454959.035236   0.999913
2454959.055670   0.999906
2454959.076105   1.000379
2454959.096540   0.999897
2454959.116974   0.999819
2454959.137408   0.999807
2454959.157842   0.999957
2454959.178277   1.000073
2454959.198712   0.999942
2454959.219146   1.000138
2454959.239581   0.999792
2454959.260014   0.999754
2454959.280449   0.999713
2454959.300883   0.999979
2454959.321318   1.000007
2454959.341753   0.999798
2454959.362187   0.997410
2454959.382621   0.993882
2454959.403055   0.993020
2454959.423490   0.992941
2454959.443925   0.992697
2454959.464359   0.992546
2454959.484794   0.992999
2454959.505227   0.993459
2454959.525662   0.994510
2454959.546096   0.999259
2454959.566531   1.000024
