#SuperNovaName	distanceToSupernova	redshift	redshiftUncertainty
2005fb	887.7414755564655	0.15888	0.061476
2005fd	1329.235686994993	0.248201	0.042153
2005fh	555.6761124988542	0.123402	0.008953
2005fi	1346.5714012712374	0.351156	0.136484
2005fo	1326.9292927603224	0.243986	0.032451
2005fp	1052.6555184674364	0.352455	0.093889
2005fr	1481.288092633438	0.370539	0.145161
2005fs	1795.2026607625767	0.428732	0.111509
2005ft	874.3538292016362	0.190542	0.035893
2005fw	680.4529209386441	0.08374	0.021414
2005fx	1494.8966715859078	0.339971	0.061085
2005ga	844.8305894073983	0.126061	0.029404
2005gb	394.92465750289506	0.079303	0.023777
2005gf	1260.0490566859414	0.191912	0.036512
2005gg	1148.7251586674918	0.213811	0.13395
2005go	1348.8879560250882	0.412509	0.271335
2005gq	2106.863353862193	0.34611	0.125266
2005gr	1232.0680792795968	0.54272	0.1286
2005gt	1426.0036398824525	0.27359	0.043446
2005gu	1745.9941743625789	0.332699	0.106926
2005gv	1937.8063539173513	0.298488	0.055994
2005gw	1416.5869811865696	0.591854	0.234308
2005gx	775.4142025558745	0.189563	0.029932
2005gy	1748.443654308656	0.147328	0.100827
2005hc	203.372509997216	0.057702	0.020912
2005hn	497.69576501908415	0.09915	0.023703
2005hs	1558.0708320919255	0.345506	0.122873
2005hu	1088.8922127268904	0.133338	0.081105
2005ib	2127.2724514115457	0.414554	0.130221
2005ic	1617.333784937187	0.20974	0.115691
2005ie	1431.8986977118166	0.322081	0.057181
2005ig	1438.355050500484	0.317456	0.05485
2005iy	2199.6713961741902	0.517537	0.090991
2005jd	1636.6428224627118	0.709028	0.142836
2005jg	1576.5508286500497	0.437398	0.081721
2005jl	877.0274260048079	0.172651	0.061036
2005jp	1048.218157284717	0.175646	0.021221
2005jt	1922.8649829102137	0.381934	0.078245
2005jz	1277.2697469617688	0.29201	0.167145
2005ka	1659.0619190165544	0.292447	0.044715
2005ko	896.8729284531046	0.40197	0.110688
2005kp	548.6204339825412	0.159289	0.03654
2005lf	1553.3130839475402	0.296549	0.039817
2005lg	1856.8121752787322	0.306203	0.085254
2005li	1299.7584642938689	0.200617	0.010192
2006er	383.85144829101114	0.097218	0.012954
2006ex	700.0809439394401	0.128076	0.028348
2006fa	802.278065477809	0.155212	0.013533
2006fc	568.2375145839322	0.031685	0.025803
2006fl	827.2165590347732	0.089559	0.046797
2006fm	588.3820787492804	0.02687	0.019756
2006ft	1322.3202620336444	0.277722	0.168144
2006fu	972.3818165732023	0.073102	0.039498
2006fw	380.0100868508199	0.114366	0.026388
2006fy	376.17397971473144	0.076382	0.014842
2006gp	1050.9908981285691	0.399896	0.103881
2006hc	1140.8488521148686	0.3667	0.165057
2006he	1056.542251429553	0.131913	0.053361
2006hf	1086.6528879327639	0.350638	0.123487
2006hg	1231.4989168861923	0.166533	0.041157
2006hh	1189.468481084105	0.201148	0.021057
2006hi	1329.235686994993	0.403572	0.034577
2006hl	703.7092494879331	0.067063	0.025032
2006hp	1246.8925595286853	0.175023	0.043989
2006hr	752.809492395685	0.149221	0.030799
2006hu	625.4778451627802	0.469203	0.156076
2006hv	715.1376743541529	0.051847	0.023694
2006hy	708.3798718850759	0.099242	0.028071
2006iy	1009.6019038644563	0.254435	0.053414
2006iz	642.387886391824	0.068595	0.048093
2006jg	1733.7644774465766	0.354771	0.071243
2006jh	584.3428725887836	0.231355	0.062538
2006jj	1376.1965813156917	0.494976	0.087594
2006jk	1468.3080317093004	0.070751	0.065528
2006jm	1733.7644774465766	0.428658	0.069287
2006jn	1116.7508226654516	0.204722	0.023683
2006jp	767.5521083559756	0.150627	0.018826
2006jq	597.9958635507519	0.034991	0.024113
2006jr	856.0842611592975	0.080438	0.040075
2006jt	681.9982732556573	0.047525	0.07434
2006jv	1969.0646746663213	0.326795	0.046571
2006jy	1003.568001022069	0.188602	0.042575
2006ka	1248.6063065395676	0.124354	0.01831
2006kc	1034.9356309004347	0.450896	0.144879
2006ki	1070.4543623554164	0.158875	0.091967
2006kk	2080.8184595109215	0.351903	0.053577
2006kl	1096.6842970427583	0.075633	0.014886
2006km	1559.2608224055464	0.330353	0.048576
2006kr	1128.5019419309847	0.318171	0.139995
2006ks	1026.6566907675262	0.222246	0.013257
2006kt	1283.0251981969998	0.216427	0.018704
2006lj	1225.2432006552538	0.296852	0.059375
2006lk	1619.7433455373816	0.322345	0.046538
2016ab	1910.9936007603887	0.261829	0.039949
2016ac	2059.940971779665	0.385461	0.020951
2016dc	781.1910482829236	0.306306	0.150472
